Wall time,Step,Value
1692454892.902117,0,6.484781265258789
1692455761.0124025,1,4.829934597015381
1692456628.5837026,2,4.089151859283447
1692457496.7407308,3,3.4359147548675537
1692458363.9348533,4,2.8806569576263428
1692459231.9637501,5,2.5182807445526123
1692460099.8773093,6,2.174854278564453
1692460968.709365,7,2.006455421447754
1692461837.3203526,8,1.9299206733703613
1692462706.4621687,9,1.8052055835723877
1692463575.4115424,10,1.7098569869995117
1692464443.4515612,11,1.6505242586135864
1692465311.1820455,12,1.5999027490615845
1692466178.1522613,13,1.495964527130127
1692467045.0276983,14,1.4556385278701782
1692467914.4719365,15,1.4082542657852173
1692468783.9007154,16,1.3678128719329834
1692469652.3350694,17,1.2938930988311768
1692470519.1800458,18,1.265182614326477
1692471386.9071317,19,1.2180026769638062
1692472256.330163,20,1.16374933719635
1692473124.6124928,21,1.1512479782104492
1692473992.3825402,22,1.0905539989471436
1692474859.0824583,23,1.0488804578781128
1692475726.6790388,24,1.0337786674499512
1692476593.816007,25,1.0432074069976807
1692477463.0472624,26,0.9815230965614319
1692478329.902383,27,0.9342217445373535
1692479196.8455007,28,0.9163690209388733
1692480065.2669785,29,0.8803664445877075
1692480932.9089768,30,0.8627046346664429
1692481799.4166222,31,0.8450750112533569
1692482669.334848,32,0.8261300921440125
1692483537.7246249,33,0.8200618624687195
1692484404.2279122,34,0.7831336855888367
1692485270.4308138,35,0.7568666338920593
1692486139.1200166,36,0.7437504529953003
1692487007.8016798,37,0.7242952585220337
1692487875.2887242,38,0.7075812816619873
1692488744.2801101,39,0.6975904703140259
1692489613.3623028,40,0.6966491341590881
1692490481.5620556,41,0.6805510520935059
1692491349.544501,42,0.6755927205085754
1692492216.0776277,43,0.6677480936050415
1692493084.1383274,44,0.6686038374900818
1692493952.1639793,45,0.6667175889015198
1692494819.664111,46,0.6655397415161133
1692495688.6467419,47,0.6551649570465088
1692496557.551563,48,0.6565670967102051
1692497425.6084235,49,0.6601691246032715
1692498293.8365471,50,1.1594524383544922
1692499161.8791635,51,1.0390726327896118
1692500030.1696496,52,1.028944492340088
1692500898.295639,53,1.014235258102417
1692501765.536125,54,0.9837285280227661
1692502632.633668,55,0.972548246383667
1692503498.5943017,56,0.9350985884666443
1692504364.6711717,57,0.9274532794952393
1692505230.0736506,58,0.915457546710968
1692506095.5358107,59,0.8919503092765808
