Wall time,Step,Value
1729244350.9668634,0,0.13492104411125183
1729244613.085079,1,0.13444267213344574
1729244875.0334458,2,0.1320336014032364
1729245136.4863172,3,0.1318369209766388
1729245398.9695733,4,0.1227307990193367
1729245673.465466,5,0.1281273066997528
1729245937.1636589,6,0.11577264219522476
1729246199.1133497,7,0.12117888033390045
1729246461.2154818,8,0.1146974265575409
1729246723.7631865,9,0.11330047249794006
1729246986.0600758,10,0.11428645998239517
1729247250.0781386,11,0.11206961423158646
1729247515.2922633,12,0.11119721084833145
1729247779.709856,13,0.11135828495025635
1729248044.5685425,14,0.1136573851108551
1729248309.5595741,15,0.11186939477920532
1729248573.7188723,16,0.11048126220703125
1729248838.5560744,17,0.10886279493570328
1729249103.4554617,18,0.11110303550958633
1729249367.339039,19,0.1092805415391922
1729249630.1179419,20,0.10831917822360992
1729249893.0407846,21,0.1085352748632431
1729250156.8636792,22,0.10968475788831711
1729250418.635054,23,0.10867878049612045
1729250680.5526133,24,0.11019381880760193
1729250942.860371,25,0.10951701551675797
1729251205.2458706,26,0.10884561389684677
1729251467.2703173,27,0.11006943881511688
1729251729.3845224,28,0.10894399136304855
1729251991.8731637,29,0.10891272872686386
1729252254.346069,30,0.10972413420677185
1729252517.6378248,31,0.10940611362457275
1729252780.1462657,32,0.1086556538939476
1729253042.3400505,33,0.10892485082149506
1729253305.1877754,34,0.10913491994142532
1729253567.388049,35,0.10855650156736374
1729253830.2300324,36,0.10928568243980408
1729254093.4130108,37,0.10870155692100525
1729254356.4612498,38,0.10899525135755539
1729254619.6324162,39,0.10856662690639496
1729254882.7405357,40,0.10788363218307495
1729255145.4987538,41,0.10841555893421173
1729255407.774366,42,0.10821035504341125
1729255669.8310916,43,0.1082349494099617
1729255932.0280254,44,0.108329176902771
1729256194.00105,45,0.10834572464227676
1729256456.4293818,46,0.10866884887218475
1729256719.2965899,47,0.10914894193410873
1729256981.4567118,48,0.10923973470926285
1729257244.7684286,49,0.10886994004249573
1729257507.0854,50,0.10915195196866989
1729257770.018971,51,0.10854899883270264
1729258032.506649,52,0.10614705830812454
1729258297.0446959,53,0.10999792814254761
1729258559.4379227,54,0.10553326457738876
1729258822.4033663,55,0.10887497663497925
1729259084.9923444,56,0.10904822498559952
1729259347.7315435,57,0.10991606116294861
1729259610.6249104,58,0.11148204654455185
1729259873.4193645,59,0.10970946401357651
1729260136.119927,60,0.10918417572975159
1729260399.8141484,61,0.11062105745077133
1729260662.8885772,62,0.10775530338287354
1729260926.0712633,63,0.11045466363430023
1729261188.4524896,64,0.11041741073131561
1729261451.386236,65,0.10951125621795654
1729261714.2313952,66,0.10962497442960739
1729261976.2695572,67,0.10826385766267776
1729262239.2648215,68,0.10975586622953415
1729262501.667663,69,0.11206946521997452
1729262764.2498188,70,0.11034204065799713
1729263026.9454627,71,0.1101793497800827
1729263289.901053,72,0.10990796983242035
1729263552.4235997,73,0.11087825894355774
1729263815.4723427,74,0.10836900025606155
1729264078.0283606,75,0.10892216116189957
1729264340.8493805,76,0.10815801471471786
1729264603.7244756,77,0.10806166380643845
1729264866.721238,78,0.11031227558851242
1729265129.3215988,79,0.10837434977293015
1729265392.5342784,80,0.10918792337179184
1729265655.5489874,81,0.11092089116573334
1729265918.4537613,82,0.10950393229722977
1729266182.6528068,83,0.11010180413722992
1729266445.421505,84,0.1113210916519165
1729266707.7714255,85,0.10711772739887238
1729266970.8434005,86,0.10972064733505249
1729267233.3707435,87,0.10690847039222717
1729267496.0567057,88,0.10796357691287994
1729267758.369852,89,0.10904563218355179
1729268021.5113664,90,0.10882698744535446
1729268283.795999,91,0.10813505947589874
1729268546.768026,92,0.11009475588798523
1729268810.2212086,93,0.1094801127910614
1729269072.8253648,94,0.10752309113740921
1729269335.6261382,95,0.10886722058057785
1729269597.8529818,96,0.11049190163612366
1729269860.415567,97,0.10881265997886658
1729270123.5589702,98,0.1099328026175499
1729270386.9094827,99,0.10937494784593582
1729270649.3977385,100,0.10869549214839935
1729270912.4788625,101,0.10959784686565399
1729271174.9337544,102,0.10918742418289185
1729271437.6280622,103,0.10877078771591187
1729271699.8575373,104,0.10970734059810638
1729271962.6317415,105,0.10878588259220123
1729272225.994997,106,0.10972629487514496
1729272488.9645684,107,0.10894684493541718
1729272752.9671474,108,0.10955359041690826
1729273015.574404,109,0.10880662500858307
1729273278.0701609,110,0.10988800972700119
1729273540.806395,111,0.10892549157142639
1729273803.84207,112,0.10891874134540558
1729274066.2141683,113,0.10907645523548126
1729274329.6928923,114,0.10884197801351547
1729274592.4814763,115,0.10845305770635605
1729274856.105706,116,0.10889739543199539
1729275119.0018725,117,0.1091330423951149
1729275381.4958608,118,0.1095612496137619
1729275643.938606,119,0.10869292169809341
1729275906.121837,120,0.10853803902864456
1729276168.3504877,121,0.10895592719316483
1729276431.2544289,122,0.10971809178590775
1729276694.3115597,123,0.10907242447137833
1729276956.8140001,124,0.10864133387804031
1729277219.7116199,125,0.10955962538719177
1729277483.0392914,126,0.10917969048023224
1729277746.7337146,127,0.10814942419528961
1729278009.6736197,128,0.1083264872431755
1729278272.8997824,129,0.10935984551906586
1729278535.8174071,130,0.10792092233896255
1729278798.6821039,131,0.10808788985013962
1729279061.6294117,132,0.10880111902952194
1729279324.8386626,133,0.10777333378791809
1729279587.0895362,134,0.10760251432657242
1729279850.4559295,135,0.1090320497751236
1729280113.069007,136,0.1094493493437767
1729280375.876438,137,0.10896467417478561
1729280638.5477345,138,0.10871552675962448
1729280901.8956587,139,0.10837322473526001
1729281165.1040087,140,0.10883678495883942
1729281427.4598267,141,0.10899757593870163
1729281692.0252433,142,0.10831853747367859
1729281955.424343,143,0.10808251053094864
1729282217.91631,144,0.1089714765548706
1729282481.089989,145,0.10909195244312286
1729282743.3864388,146,0.10925188660621643
1729283006.0417395,147,0.10959237813949585
1729283268.884158,148,0.10926255583763123
1729283531.4115272,149,0.10914076119661331
1729283794.5745707,150,0.10821908712387085
1729284057.7247045,151,0.10927489399909973
