Wall time,Step,Value
1729244350.9668806,0,1.8113664388656616
1729244613.0850954,1,1.6392359733581543
1729244875.0334744,2,1.4915506839752197
1729245136.4863346,3,1.3521006107330322
1729245398.9695902,4,1.254561424255371
1729245673.4654834,5,1.2656826972961426
1729245937.1636755,6,1.0436121225357056
1729246199.1133664,7,1.0637667179107666
1729246461.215498,8,0.9907606244087219
1729246723.7632031,9,0.8858113884925842
1729246986.0601048,10,0.9003888368606567
1729247250.0781555,11,0.8675715327262878
1729247515.2922795,12,0.7049356698989868
1729247779.7098727,13,0.7386419773101807
1729248044.568572,14,0.7685607671737671
1729248309.5595906,15,0.6488167643547058
1729248573.7188892,16,0.622789740562439
1729248838.556091,17,0.5965543389320374
1729249103.4554782,18,0.6094830632209778
1729249367.339055,19,0.5059033632278442
1729249630.1179583,20,0.4853392541408539
1729249893.0408013,21,0.5045206546783447
1729250156.8636963,22,0.5224080681800842
1729250418.6350703,23,0.4276409447193146
1729250680.5526302,24,0.47008103132247925
1729250942.8604002,25,0.3669964671134949
1729251205.2458873,26,0.39409691095352173
1729251467.2703466,27,0.40505388379096985
1729251729.3845391,28,0.3364109992980957
1729251991.8731804,29,0.3028705418109894
1729252254.3460858,30,0.29106035828590393
1729252517.6378417,31,0.3116729259490967
1729252780.146295,32,0.34345120191574097
1729253042.3400679,33,0.2684166133403778
1729253305.187805,34,0.25536900758743286
1729253567.3880787,35,0.24107632040977478
1729253830.2300487,36,0.24234871566295624
1729254093.413028,37,0.2229112684726715
1729254356.4612656,38,0.22583399713039398
1729254619.6324332,39,0.24116164445877075
1729254882.740553,40,0.21989089250564575
1729255145.4987705,41,0.2117249220609665
1729255407.7743826,42,0.20889288187026978
1729255669.8311212,43,0.20741260051727295
1729255932.028042,44,0.19508717954158783
1729256194.0010667,45,0.19330500066280365
1729256456.4293985,46,0.1883845031261444
1729256719.2966068,47,0.18232031166553497
1729256981.456741,48,0.1770949810743332
1729257244.7684453,49,0.17435508966445923
1729257507.0854297,50,0.4717589318752289
1729257770.0189881,51,0.3524005115032196
1729258032.5066652,52,0.43323659896850586
1729258297.0447278,53,0.40986692905426025
1729258559.4379396,54,0.4138142764568329
1729258822.4033825,55,0.48939013481140137
1729259084.992361,56,0.36665210127830505
1729259347.7315607,57,0.35083046555519104
1729259610.6249273,58,0.5000920295715332
1729259873.4193811,59,0.35177284479141235
1729260136.1199434,60,0.3748498558998108
1729260399.8141649,61,0.37406185269355774
1729260662.8885937,62,0.34918245673179626
1729260926.0712798,63,0.30123770236968994
1729261188.4525065,64,0.3838184177875519
1729261451.3862526,65,0.37776342034339905
1729261714.2314246,66,0.41265350580215454
1729261976.2695737,67,0.37911471724510193
1729262239.264837,68,0.28843042254447937
1729262501.667693,69,0.34368643164634705
1729262764.2498362,70,0.2941339313983917
1729263026.9454799,71,0.2839146852493286
1729263289.90107,72,0.3135724663734436
1729263552.4236157,73,0.34084179997444153
1729263815.4723594,74,0.30140063166618347
1729264078.0283778,75,0.29560235142707825
1729264340.8493972,76,0.3221190273761749
1729264603.724492,77,0.24941855669021606
1729264866.721254,78,0.23065350949764252
1729265129.321628,79,0.28288111090660095
1729265392.5342948,80,0.2815537750720978
1729265655.5490043,81,0.26447269320487976
1729265918.4537902,82,0.2414838969707489
1729266182.6528234,83,0.24373777210712433
1729266445.4215348,84,0.25216299295425415
1729266707.7714422,85,0.27473515272140503
1729266970.8434167,86,0.21577085554599762
1729267233.3707602,87,0.24572570621967316
1729267496.0567355,88,0.23672020435333252
1729267758.369869,89,0.26100531220436096
1729268021.5113828,90,0.20088301599025726
1729268283.7960162,91,0.23927965760231018
1729268546.7680428,92,0.2101607322692871
1729268810.2212255,93,0.27115869522094727
1729269072.8253815,94,0.2403433918952942
1729269335.626155,95,0.22083166241645813
1729269597.8529985,96,0.1925198882818222
1729269860.4155834,97,0.19923776388168335
1729270123.5589876,98,0.1997213363647461
1729270386.909512,99,0.1876889020204544
1729270649.397768,100,0.1889410763978958
1729270912.4788792,101,0.19912032783031464
1729271174.9337716,102,0.18585073947906494
1729271437.6280792,103,0.20734207332134247
1729271699.8575664,104,0.17850159108638763
1729271962.6317585,105,0.17761370539665222
1729272225.9950135,106,0.17233803868293762
1729272488.9645975,107,0.19961661100387573
1729272752.9671638,108,0.18063220381736755
1729273015.5744212,109,0.17182791233062744
1729273278.0701904,110,0.17717473208904266
1729273540.8064117,111,0.1703873574733734
1729273803.842087,112,0.1659775972366333
1729274066.214185,113,0.1590065211057663
1729274329.692909,114,0.17437241971492767
1729274592.481493,115,0.1577264666557312
1729274856.1057355,116,0.1564507931470871
1729275119.0018892,117,0.1553202122449875
1729275381.4958777,118,0.16758644580841064
1729275643.9386346,119,0.1482938677072525
1729275906.121853,120,0.14094361662864685
1729276168.3505046,121,0.13758841156959534
1729276431.2544453,122,0.13978835940361023
1729276694.3115764,123,0.14261770248413086
1729276956.8140168,124,0.1392328292131424
1729277219.7116365,125,0.12448713928461075
1729277483.039321,126,0.12588278949260712
1729277746.7337313,127,0.12870420515537262
1729278009.6736486,128,0.12586210668087006
